Date,Total Gross Oil Volume (bbl),Total Net Reveune ($),Total Gross Gas Volume (MCF),Oil Revenue ($),Gas Revenue ($),Total Expenses ($),Net Income ($),Total CAPEX ($),Before Income Tax Cash Flow ($),Total Taxes ($)
2025-09-01,2133.006853385,120109.21674506301,12643.074795448,92145.896066229,27963.320678834003,33973.143329296996,76527.336076159,0.0,76527.336076159,19217.47467921
2025-10-01,2152.548358321,121590.58127008102,12816.932099856,92925.512628754,28665.068641327,34342.415683073006,77520.919085401,0.0,77520.919085401,19454.493003212003
2025-11-01,2035.330712471,116078.183108386,12172.583540902,87849.961877034,28228.221231351003,32525.890665612,74266.037794103,0.0,74266.037794103,18572.509297341
2025-12-01,2055.876258149,119564.415499124,12348.337195114998,88705.92084853,30858.494650593002,32907.099776616,77092.162482579,0.0,77092.162482579,19130.306479860003
2026-01-01,2009.7831728309998,118058.421186778,12122.843096945,86581.459085558,31476.962101218,32220.674825256,76393.07266658,0.0,76393.07266658,18889.347389884002
2026-02-01,1777.239363392,103853.032314424,10762.452794754001,76416.84952739501,27436.182787029,28534.846428663004,67009.94330060799,0.0,67009.94330060799,16616.485170308002
2026-03-01,1927.170445011,111119.28049294202,11715.247036361001,82747.88098263601,28371.399510306,30986.951486465,71242.786567042,0.0,71242.786567042,17779.08487887
2026-04-01,1826.0241814750002,102008.11205894701,11143.434417782999,78322.742203947,23685.369854999,29403.676232540998,64443.78686169001,0.0,64443.78686169001,16321.297929432
2026-05-01,1848.15760998,103123.823759464,11321.159450201001,79230.51673981201,23893.30701965,29802.735549993,65071.182308710995,0.0,65071.182308710995,16499.811801515996
2026-06-01,1752.4526889640001,98242.048372913,10774.537615736,75114.50338073401,23127.544992179002,28299.064505380004,62083.61999769899,0.0,62083.61999769899,15718.727739667002
2026-07-01,1774.959387974,99910.79818530401,10952.238447601,75999.323594578,23911.474590726,28701.832327341,63216.102003137996,0.0,63216.102003137996,15985.72770965
2026-08-01,1739.791469186,98013.877409018,10773.64333782,74363.036871669,23650.840537349002,28171.558029676,62001.209186621,0.0,62001.209186621,15682.220385442
2026-09-01,1651.384216117,93088.765053703,10261.354883892,70547.133712515,22541.631341188,26775.19704506,58866.46680434601,0.0,58866.46680434601,14894.202408591998
2026-10-01,1674.244798179,94743.908245614,10438.377373525,71523.737778212,23220.170467404,27180.825355314,59983.570230651996,0.0,59983.570230651996,15159.025319299999
2026-11-01,1590.1581110500001,91026.339187684,9946.729699615,67967.33306155,23059.006126135,25848.310810115,57895.92124255501,0.0,57895.92124255501,14564.21427003
2026-12-01,1613.142844808,94239.45333535201,10122.964191391,68949.75804421,25289.695291142998,26254.392639471,60445.904429051996,0.0,60445.904429051996,15078.312533655999
