Date,Total Gross Oil Volume (bbl),Total Net Reveune ($),Total Gross Gas Volume (MCF),Oil Revenue ($),Gas Revenue ($),Total Expenses ($),Net Income ($),Total CAPEX ($),Before Income Tax Cash Flow ($),Total Taxes ($)
2026-09-01,2204.947596752,124285.751689534,13697.68537899,94195.36133324,30090.390356294,35747.161346507,78595.73020786302,0.0,78595.73020786302,19885.720270324997
2023-03-01,8989.085118462,531323.847312843,40695.150400343,414823.805504258,116500.041808585,130586.00158497097,358231.937942845,0.0,358231.937942845,85011.815570053
2022-02-01,32261.515135249003,1841871.6656096089,82830.382781361,1581701.4332933547,260170.23231625406,405445.534133837,1289076.398227005,0.0,1289076.398227005,294699.46649754094
2022-09-01,13610.434866125,799349.848098525,53078.387974015,646563.708315322,152786.139783203,189182.736635277,546219.123615365,0.0,546219.123615365,127895.97569576198
2025-11-01,2718.3437260769997,155019.558197251,16252.284226152,117330.511076804,37689.047120446005,43435.721486922004,99182.272054549,0.0,99182.272054549,24803.129311559
2024-04-01,4698.720884678999,263764.387349347,25045.851867829,207918.399147056,55845.988202294,72033.060714623,170630.175646777,0.0,170630.175646777,42202.301975894
2023-11-01,5736.323331680001,331739.67693694396,29133.636741412003,257274.10142589698,74465.575511047,86496.870058222,218703.63272376603,0.0,218703.63272376603,53078.348309912006
2024-09-01,3958.829003932,223438.71975334402,21930.824598197,173485.784024798,49952.935728546,61519.11463751401,144044.50753556,0.0,144044.50753556,35750.195160534
2023-12-01,5678.832936891,333531.575396302,29152.521578269996,254141.97100828402,79389.604388018,85940.850947193,220908.198417404,0.0,220908.198417404,53365.052063408
2025-02-01,3185.2125648369997,187102.827871704,18207.638077516,138652.30294743198,48450.524924269,50059.763725905,122074.837916064,0.0,122074.837916064,29936.452459474
2022-07-01,17204.971355137,1003964.188406945,62105.523635979,825193.4386207829,178770.749786165,234155.237187355,689491.816147036,0.0,689491.816147036,160634.270145114
2025-03-01,3433.4808108469997,198243.99200025998,19734.373072609997,149253.410847502,48990.58115275801,54069.181181076005,128315.291459161,0.0,128315.291459161,31719.038720039003
2025-01-01,3624.368007465,214092.43756731699,20601.098673193,158067.749725571,56024.68784174899,56844.778747843,140120.26381408802,0.0,140120.26381408802,34254.79001076899
2026-06-01,2340.066562726,131175.325774546,14383.518625518001,100301.103044869,30874.222729677003,37784.184252785,82897.11545979598,0.0,82897.11545979598,20988.052123929
2026-04-01,2438.436105911,136210.768735735,14876.569307414,104590.62067282299,31620.148062911,39260.930366534,86052.97687034201,0.0,86052.97687034201,21793.722997718
2022-04-01,24459.662490787,1401433.2273477209,74711.494238232,1189289.939458259,212143.28788946,319308.119146097,970010.4500138061,0.0,970010.4500138061,224229.31637563495
2025-12-01,2745.695279177,159669.775263021,16486.549901825998,118469.887058356,41199.88820466401,43943.502693612,102952.690548369,0.0,102952.690548369,25547.164042084
2023-06-01,7311.886461982,417009.23347060394,34816.034867453,333476.861814866,83532.37165573801,107934.899487279,275713.595305677,0.0,275713.595305677,66721.477355294
2022-12-01,10985.888199456,659979.1633973039,46686.680512534,514386.75021896703,145592.41317833698,156545.56250708,450635.267818437,0.0,450635.267818437,105596.66614357001
2026-02-01,2373.422201445,138680.257537116,14368.554057291001,102051.22110656301,36629.036430553,38102.77607172701,89483.060862421,0.0,89483.060862421,22188.841205939003
2026-08-01,2323.044449305,130864.34085199499,14381.784980113,99292.72737440199,31571.613477593004,37612.229473158004,82782.964110678,0.0,82782.964110678,20938.294536317997
2021-12-01,15541.732945501,0.0,33241.163707552005,0.0,0.0,188658.49316255297,-188658.49316255297,10000000.0,-10188658.493162554,0.0
2022-06-01,18670.686396723002,1082526.325585448,64304.097368626,899693.700742102,182832.624843347,251010.961335859,744913.2582027529,0.0,744913.2582027529,173204.212093674
2022-10-01,12875.85884113,759317.843736202,51834.428101112,608674.037067345,150643.806668858,180593.016512418,517979.39972488605,0.0,517979.39972488605,121490.85499779301
